DirectBuild.csv,,,,,,,,,,,
,P,Pv,Pc,Pf,T,S,Tm,Ts,Tc,R,Tpro
../test/01_Fib.iii,77,10,41,26,37,155339,2.209,NULL,30573.08,false,NULL
../test/01_Fib.iii,77,10,41,26,37,83,2.098,NULL,13.385,false,NULL
../test/02_Lamport.iii,156,7,82,67,91,868,4.212,NULL,84.098,true,NULL
../test/02_Lamport.iii,156,7,82,67,91,37,4.127,NULL,9.032,false,NULL
../test/03_Dekker.iii,119,7,65,47,66,182,3.566,NULL,20.919,true,NULL
../test/03_Dekker.iii,119,7,65,47,66,182,3.23,NULL,21.45,true,NULL
../test/04_Szymanski.iii,138,6,75,57,82,312,4.213,NULL,35.531,true,NULL
../test/04_Szymanski.iii,138,6,75,57,82,90,4.192,NULL,12.577,false,NULL
../test/05_Peterson.iii,103,7,57,39,56,202,2.644,NULL,23.282,true,NULL
../test/05_Peterson.iii,103,7,57,39,56,202,2.603,NULL,23.518,true,NULL
../test/06_Sync.iii,85,6,50,29,44,82,1.806,NULL,11.41,true,NULL
../test/06_Sync.iii,85,6,50,29,44,82,1.836,NULL,11.965,true,NULL
../test/07_Datarace.iii,113,8,63,42,60,86792,3.225,NULL,9450.414,true,NULL
../test/07_Datarace.iii,113,8,63,42,60,292,3.166,NULL,19.819,false,NULL
../test/08_Rwlock.iii,124,14,71,39,63,391,3.054,NULL,56.921,true,NULL
../test/08_Rwlock.iii,124,14,71,39,63,391,3.045,NULL,57.432,true,NULL
../test/09_Varmutex.iii,123,10,72,41,66,519,4.545,NULL,65.431,true,NULL
../test/09_Varmutex.iii,123,10,72,41,66,519,4.548,NULL,67.159,true,NULL
../test/10_Lazy.iii,82,6,48,28,41,133,1.81,NULL,19.602,false,NULL
../test/10_Lazy.iii,82,6,48,28,41,40,1.776,NULL,8.915,false,NULL
