ProgramSliceNoDependence.csv,,,,,,,,,,,,,,
,P,Pv,Pc,Pf,T,S,Tm,Ts,Tc,R,Tdfd,Tcfd,Ttra,Tpro
../test/01_Fib_slice.iii,43,10,33,0,29,83055,1.732,NULL,14941.112,false,1.349,17.338,0.289,18.976
../test/01_Fib_slice.iii,25,8,17,0,15,50,0.892,NULL,9.5,false,1.231,17.894,0.329,19.454
../test/02_Lamport_slice.iii,74,7,67,0,76,416,2.577,NULL,38.487,true,1.99,165.586,0.571,168.147
../test/02_Lamport_slice.iii,62,7,55,0,65,21,2.205,NULL,8.338,false,1.919,165.265,0.826,168.01
../test/03_Dekker_slice.iii,59,7,52,0,53,114,2.054,NULL,13.967,true,1.394,64.336,0.436,66.166
../test/03_Dekker_slice.iii,41,7,34,0,36,99,1.507,NULL,12.551,true,1.516,64.053,0.517,66.086
../test/04_Szymanski_slice.iii,70,6,64,0,71,301,2.537,NULL,25.864,true,1.761,450.264,1.027,453.052
../test/04_Szymanski_slice.iii,50,6,44,0,52,58,1.891,NULL,9.339,false,1.685,450.079,1.215,452.979
../test/05_Peterson_slice.iii,50,7,43,0,42,96,1.552,NULL,12.563,true,1.282,41.554,0.258,43.094
../test/05_Peterson_slice.iii,31,7,24,0,24,78,1.289,NULL,11.431,true,1.303,40.214,0.335,41.852
../test/06_Sync_slice.iii,47,6,41,0,35,38,1.353,NULL,8.563,true,1.711,14.564,0.337,16.612
../test/06_Sync_slice.iii,37,6,31,0,28,38,1.11,NULL,8.434,true,1.72,14.559,0.673,16.952
../test/07_Datarace_slice.iii,59,8,51,0,48,85633,2.006,NULL,8013.94,true,1.88,51.587,0.411,53.878
../test/07_Datarace_slice.iii,47,8,39,0,38,284,1.877,NULL,17.737,false,1.852,50.798,0.74,53.39
../test/08_Rwlock_slice.iii,78,14,64,0,56,299,2.171,NULL,39.886,true,1.813,32.7,0.897,35.41
../test/08_Rwlock_slice.iii,66,14,52,0,43,416,1.87,NULL,52.842,true,1.864,31.608,0.912,34.384
../test/09_Varmutex_slice.iii,71,10,61,0,55,406,3.444,NULL,45.795,true,1.737,29.622,0.664,32.023
../test/09_Varmutex_slice.iii,53,10,43,0,39,771,3.119,NULL,82.329,true,1.658,29.694,0.704,32.056
../test/10_Lazy_slice.iii,48,6,42,0,35,74,1.398,NULL,11.033,false,1.619,11.957,0.254,13.83
../test/10_Lazy_slice.iii,31,5,26,0,22,34,1.079,NULL,8.081,false,1.577,11.825,0.409,13.811
